"01 2017"	422492.0370836691
"01 2019"	324039.71045084804
"02 2016"	1450049.8509204714
"02 2018"	537903.1931134746
"03 2017"	522517.3818089285
"03 2019"	516876.89683054516
"04 2016"	541164.0750139343
"04 2018"	282933.1621221622
"05 2017"	499551.03673482116
"05 2019"	303313.310578473
"06 2016"	483618.1063514109
"06 2018"	329405.37452664436
"07 2017"	504356.04218148655
"08 2016"	389810.8476945088
"08 2018"	385428.6557760777
"09 2015"	1622845.541818311
"09 2017"	573382.7611513644
"10 2015"	1512305.2120650264
"10 2017"	316431.2064782165
"11 2016"	465746.03484316677
"11 2018"	310953.0713065591
"12 2015"	1162591.1310937302
"12 2017"	755155.0126657792
"01 2016"	1255228.2358074514
"01 2018"	1378511.673463304
"02 2017"	425052.3502382028
"02 2019"	707180.8134489197
"03 2016"	723809.4586003256
"03 2018"	329239.7678069091
"04 2017"	450222.5990703976
"04 2019"	237853.84274399054
"05 2016"	521541.97444175166
"05 2018"	367077.8385605968
"06 2017"	624834.6558975625
"06 2019"	287501.8269374531
"07 2016"	480953.5092165404
"07 2018"	550878.7843103256
"08 2015"	3807825.0091862874
"08 2017"	486474.11456625507
"09 2016"	412668.79561682243
"09 2018"	313092.11028574774
"10 2016"	568548.294576292
"10 2018"	307738.97461809794
"11 2015"	1443756.6100508426
"11 2017"	311990.60531889036
"12 2016"	1732159.5394297931
"12 2018"	331781.05807935784
